acquisition_score,algorithm,errors,fail_rate,feature_coverage,iteration,lineage_depth,median_gap,median_iterations,median_runtime,median_violation,origin,parent,policy_id,problem_family,proof_count,score,seed_parent,selection_stage,variant,verified,warnings
-0.510492,PDHG,,0.0,0.4,0,0,0.030207,80,0.001521,0.04272,grid_search,,bo_seed_grid_1,miplib_rootlp,2,-0.530492,,seed,grid_candidate_1,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-2.175807,PDHG,,0.0,0.4,0,0,0.63983,80,0.00177,1.502919,grid_search,,bo_seed_grid_2,miplib_rootlp,4,-2.195807,,seed,grid_candidate_2,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.10928,PDHG,,0.0,0.4,10,2,1.0,80,0.001744,2.44949,bayesian_optimisation,bayes_iter_10_s0,bayes_iter_10,miplib_rootlp,6,-3.12928,bo_seed_grid_2,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.10926,PDHG,,0.0,0.4,11,1,1.0,80,0.001608,2.44949,bayesian_optimisation,bo_seed_grid_1,bayes_iter_11,miplib_rootlp,6,-3.12926,bo_seed_grid_1,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109259,PDHG,,0.0,0.4,12,2,1.0,80,0.001602,2.44949,bayesian_optimisation,bayes_iter_12_s0,bayes_iter_12,miplib_rootlp,6,-3.129259,bo_seed_grid_2,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.10926,PDHG,,0.0,0.4,13,1,1.0,80,0.001609,2.44949,bayesian_optimisation,bo_seed_grid_1,bayes_iter_13,miplib_rootlp,6,-3.12926,bo_seed_grid_1,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109242,PDHG,,0.0,0.4,14,1,1.0,80,0.001489,2.44949,bayesian_optimisation,bo_seed_grid_1,bayes_iter_14,miplib_rootlp,6,-3.129242,bo_seed_grid_1,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109257,PDHG,,0.0,0.4,15,1,1.0,80,0.001587,2.44949,bayesian_optimisation,bo_seed_grid_2,bayes_iter_15,miplib_rootlp,6,-3.129257,bo_seed_grid_2,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109259,PDHG,,0.0,0.4,16,2,1.0,80,0.0016,2.44949,bayesian_optimisation,bayes_iter_16_s0,bayes_iter_16,miplib_rootlp,6,-3.129259,bo_seed_grid_1,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109257,PDHG,,0.0,0.4,17,2,1.0,80,0.001588,2.44949,bayesian_optimisation,bayes_iter_17_s0,bayes_iter_17,miplib_rootlp,6,-3.129257,bo_seed_grid_2,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109255,PDHG,,0.0,0.4,18,1,1.0,80,0.001578,2.44949,bayesian_optimisation,bo_seed_grid_2,bayes_iter_18,miplib_rootlp,6,-3.129255,bo_seed_grid_2,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109258,PDHG,,0.0,0.4,19,1,1.0,80,0.001594,2.44949,bayesian_optimisation,bo_seed_grid_2,bayes_iter_19,miplib_rootlp,6,-3.129258,bo_seed_grid_2,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109277,PDHG,,0.0,0.4,20,1,1.0,80,0.001721,2.44949,bayesian_optimisation,bo_seed_grid_2,bayes_iter_20,miplib_rootlp,6,-3.129277,bo_seed_grid_2,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
