algorithm,backend_detail,backend_mode,errors,fail_rate,feature_coverage,median_dual_residual,median_gap,median_iterations,median_primal_residual,median_runtime,median_violation,meta_parent,meta_split,native_backend,native_used,origin,parent,policy_id,problem_family,proof_count,score,smoke_ok,smoke_reason,source_table,split,verified,warnings
PDHG,,,,,,,,,,,,search_variant_2,train,,,funsearch_mutation,,search_variant_2_g2,miplib_rootlp,,-1.7645759903074008,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,,,,,,,,,search_variant_2,train,,,funsearch_mutation,,search_variant_2_top1,miplib_rootlp,,-1.7645692387730332,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,,,,,,,,,search_variant_2_g2,train,,,funsearch_mutation,,search_variant_2_g2_top2,miplib_rootlp,,-1.7645843489289401,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,0.0,0.4,,1.0,,,,,,,,,search_seed,,search_seed,,6,-3.129236,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,,,0.0,0.0,,0.63983,,,,,,,,,mutation,,search_variant_1,,2,-1.99579,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.47618,,,,,,,,,mutation,,search_variant_2,,2,-1.764574,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.4,,1.0,,,,,,,,,reflection,search_seed,search_seed_reflect,,6,-3.129243,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,,,0.0,0.0,,0.63983,,,,,,,,,funsearch_mutation,search_variant_1,search_variant_1_g2,,2,-1.995818,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.47618,,,,,,,,,funsearch_mutation,search_variant_2,search_variant_2_g2,,2,-1.764576,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.47618,,,,,,,,,funsearch_mutation,search_variant_2,search_variant_2_top1,,2,-1.764569,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.47618,,,,,,,,,funsearch_mutation,search_variant_2_g2,search_variant_2_g2_top2,,2,-1.764584,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,0.0,0.0,80,0.0,0.001813,0.0,,,,,baseline,,vanilla,llm_lns_is,1,-0.200272,True,,pdhg_llm_lns_is_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.4,0.292759,15.709057,80,47.652165,0.00197,47.652165,,,,,baseline,,adaptive,llm_lns_is,6,-8.556271,True,,pdhg_llm_lns_is_train.csv,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,,,0.0,0.0,0.011856,1.53662,80,4.603292,0.0016,4.603292,,,,,baseline,,conservative,llm_lns_is,2,-3.50499,True,,pdhg_llm_lns_is_train.csv,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,ModuleNotFoundError: No module named 'highspy',surrogate,,0.0,,0.0,0.0,1,0.0,0.001208,0.0,,,,False,solver_baseline,,HiGHS,llm_lns_is,,-0.000181,,,pdhg_llm_lns_is_train.csv,,,
PDHG,ModuleNotFoundError: No module named 'pyscipopt',surrogate,,0.0,,0.0,0.0,1,0.0,0.001507,0.0,,,,False,solver_baseline,,PySCIPOpt,llm_lns_is,,-0.000226,,,pdhg_llm_lns_is_train.csv,,,
PDHG,ModuleNotFoundError: No module named 'ortools',surrogate,,0.0,,0.0,0.0,1,0.0,0.001306,0.0,,,,False,solver_baseline,,OR-Tools,llm_lns_is,,-0.000196,,,pdhg_llm_lns_is_train.csv,,,
PDHG,ModuleNotFoundError: No module named 'ecole',surrogate,,0.0,,0.0,0.0,1,0.0,0.001405,0.0,,,,False,solver_baseline,,Ecole,llm_lns_is,,-0.000211,,,pdhg_llm_lns_is_train.csv,,,
PDHG,,,,0.0,0.0,0.000411,0.007177,80,0.000369,0.001568,0.000369,,,,,baseline,,vanilla,llm_lns_sc,1,-0.208035,True,,pdhg_llm_lns_sc_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.4,0.0,1.0,80,3.162278,0.001669,3.162278,,,,,baseline,,adaptive,llm_lns_sc,6,-3.354672,True,,pdhg_llm_lns_sc_train.csv,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,,,0.0,0.0,1e-06,0.910018,80,2.589067,0.001807,2.589067,,,,,baseline,,conservative,llm_lns_sc,2,-2.680855,True,,pdhg_llm_lns_sc_train.csv,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,ModuleNotFoundError: No module named 'highspy',surrogate,,0.0,,0.0,0.0,1,0.0,0.001208,0.0,,,,False,solver_baseline,,HiGHS,llm_lns_sc,,-0.000181,,,pdhg_llm_lns_sc_train.csv,,,
PDHG,ModuleNotFoundError: No module named 'pyscipopt',surrogate,,0.0,,0.0,0.0,1,0.0,0.001505,0.0,,,,False,solver_baseline,,PySCIPOpt,llm_lns_sc,,-0.000226,,,pdhg_llm_lns_sc_train.csv,,,
PDHG,ModuleNotFoundError: No module named 'ortools',surrogate,,0.0,,0.0,0.0,1,0.0,0.001307,0.0,,,,False,solver_baseline,,OR-Tools,llm_lns_sc,,-0.000196,,,pdhg_llm_lns_sc_train.csv,,,
PDHG,ModuleNotFoundError: No module named 'ecole',surrogate,,0.0,,0.0,0.0,1,0.0,0.001405,0.0,,,,False,solver_baseline,,Ecole,llm_lns_sc,,-0.000211,,,pdhg_llm_lns_sc_train.csv,,,
PDHG,,,,,,,,,,,,,train,,,search_seed,,search_seed,llm_lns_sc,,-1.5904536564862763,,,search_archive_pdhg_llm_lns_sc_train.csv,,True,
PDHG,,,,,,,,,,,,,train,,,mutation,,search_variant_1,llm_lns_sc,,-2.8046246381687454,,,search_archive_pdhg_llm_lns_sc_train.csv,,True,
PDHG,,,,,,,,,,,,,train,,,mutation,,search_variant_2,llm_lns_sc,,-3.318118128639073,,,search_archive_pdhg_llm_lns_sc_train.csv,,True,
PDHG,,,,0.0,0.4,,1.0,,,,,,,,,search_seed,,search_seed,,6,-3.354745,True,,search_pdhg_llm_lns_sc_train.csv,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,,,0.0,0.0,,0.833967,,,,,,,,,mutation,,search_variant_1,,2,-2.444121,True,,search_pdhg_llm_lns_sc_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.833967,,,,,,,,,mutation,,search_variant_2,,2,-2.444151,True,,search_pdhg_llm_lns_sc_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.4,,1.0,,,,,,,,,reflection,search_seed,search_seed_reflect,,6,-3.35469,True,,search_pdhg_llm_lns_sc_train.csv,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,,,0.0,0.0,,0.833967,,,,,,,,,funsearch_mutation,search_variant_1,search_variant_1_g2,,2,-2.444154,True,,search_pdhg_llm_lns_sc_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.833967,,,,,,,,,funsearch_mutation,search_variant_2,search_variant_2_g2,,2,-2.444131,True,,search_pdhg_llm_lns_sc_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.833967,,,,,,,,,funsearch_mutation,search_variant_1,search_variant_1_top1,,2,-2.444143,True,,search_pdhg_llm_lns_sc_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.833967,,,,,,,,,funsearch_mutation,search_variant_2_g2,search_variant_2_g2_top2,,2,-2.444147,True,,search_pdhg_llm_lns_sc_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,,,,,,,,,,train,,,search_seed,,search_seed,miplib_rootlp,,-3.129235651392036,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,,,,,,,,,,train,,,mutation,,search_variant_1,miplib_rootlp,,-1.9957904913364812,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,,,,,,,,,,train,,,mutation,,search_variant_2,miplib_rootlp,,-1.7645744899926918,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,,,,,,,,,search_seed,train,,,reflection,,search_seed_reflect,miplib_rootlp,,-3.129242686316569,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,,,,,,,,,search_variant_1,train,,,funsearch_mutation,,search_variant_1_g2,miplib_rootlp,,-1.9958181783043596,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,,,,,,,,,search_variant_2,train,,,funsearch_mutation,,search_variant_2_g2,miplib_rootlp,,-1.7645759903074008,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,,,,,,,,,search_variant_2,train,,,funsearch_mutation,,search_variant_2_top1,miplib_rootlp,,-1.7645692387730332,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,,,,,,,,,search_variant_2_g2,train,,,funsearch_mutation,,search_variant_2_g2_top2,miplib_rootlp,,-1.7645843489289401,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,0.0,0.4,,1.0,,,,,,,,,search_seed,,search_seed,,6,-3.129236,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,,,0.0,0.0,,0.63983,,,,,,,,,mutation,,search_variant_1,,2,-1.99579,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.47618,,,,,,,,,mutation,,search_variant_2,,2,-1.764574,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.4,,1.0,,,,,,,,,reflection,search_seed,search_seed_reflect,,6,-3.129243,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,,,0.0,0.0,,0.63983,,,,,,,,,funsearch_mutation,search_variant_1,search_variant_1_g2,,2,-1.995818,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.47618,,,,,,,,,funsearch_mutation,search_variant_2,search_variant_2_g2,,2,-1.764576,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.47618,,,,,,,,,funsearch_mutation,search_variant_2,search_variant_2_top1,,2,-1.764569,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.47618,,,,,,,,,funsearch_mutation,search_variant_2_g2,search_variant_2_g2_top2,,2,-1.764584,True,,search_pdhg_miplib_rootlp_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
,,,,0.0,0.0,,6.4e-05,,,,,,,,,,,vanilla,,,-0.200415,,,ood_pdhg_miplib_rootlp.csv,train,True,
,,,,0.0,0.4,,1.0,,,,,,,,,,,adaptive,,,-3.12931,,,ood_pdhg_miplib_rootlp.csv,train,True,
,,,,0.0,0.0,,0.779422,,,,,,,,,,,conservative,,,-2.325878,,,ood_pdhg_miplib_rootlp.csv,train,True,
,,,,0.0,0.0,,6.4e-05,,,,,,,,,,,vanilla,,,-0.200445,,,ood_pdhg_miplib_rootlp.csv,validation,True,
,,,,0.0,0.4,,1.0,,,,,,,,,,,adaptive,,,-3.129227,,,ood_pdhg_miplib_rootlp.csv,validation,True,
,,,,0.0,0.0,,0.779422,,,,,,,,,,,conservative,,,-2.32578,,,ood_pdhg_miplib_rootlp.csv,validation,True,
,,,,0.0,0.0,,6.4e-05,,,,,,,,,,,vanilla,,,-0.200394,,,ood_pdhg_miplib_rootlp.csv,test,True,
,,,,0.0,0.4,,1.0,,,,,,,,,,,adaptive,,,-3.129224,,,ood_pdhg_miplib_rootlp.csv,test,True,
,,,,0.0,0.0,,0.779422,,,,,,,,,,,conservative,,,-2.325795,,,ood_pdhg_miplib_rootlp.csv,test,True,
